seed,noise,nn_mean,densvar_mean,lcf_mean,nclusters_mean,lcf_time_std,runtime_sec,attraction
0,0.0,0.049711704593733294,0.4911111111102381,0.95,5.0,0.0,1.9377689361572266,0.0
1,0.0,0.04968820641162154,0.4888888888880198,0.9933333333333333,3.0,0.0,1.9101710319519043,0.0
0,0.016,0.028468453909196473,1.2599999999977602,0.23333333333333334,33.0,0.05254627590144814,1.873013973236084,0.0
1,0.016,0.030790533502775698,1.2244444444422675,0.3225,30.25,0.12157245210618692,1.8747799396514893,0.0
0,0.032,0.028533351644527437,1.3133333333309987,0.355,26.75,0.07889866919029749,1.9050168991088867,0.0
1,0.032,0.028712588105830248,1.3177777777754351,0.3483333333333334,31.25,0.1533786165017797,1.881929874420166,0.0
0,0.048,0.02845853448722979,1.3577777777753641,0.3358333333333333,31.0,0.1409959613290789,1.899488925933838,0.0
1,0.048,0.028636461147981594,1.366666666664237,0.3491666666666666,30.5,0.09322538400147366,1.9103162288665771,0.0
0,0.064,0.028580259378247947,1.27333333333107,0.3125,33.0,0.13327863461352105,1.8872718811035156,0.0
1,0.064,0.029439231092204896,1.2555555555533235,0.3883333333333333,27.75,0.02477678124553085,1.89742112159729,0.0
0,0.08,0.028562787341791233,1.339999999997618,0.22166666666666665,32.0,0.04323707257024282,1.8845460414886475,0.0
1,0.08,0.028851377385519936,1.3266666666643083,0.3466666666666667,32.25,0.14261447643520936,1.8918766975402832,0.0
0,0.0,0.01372558906917934,14.155555555530391,0.6666666666666666,2.0,0.0,1.8835909366607666,0.03
1,0.0,0.013610733969342365,14.084444444419407,0.6766666666666666,2.0,0.0,1.8783178329467773,0.03
0,0.016,0.010882672062570714,11.648888888868179,0.9924999999999999,3.0,0.003632415786283889,1.8424391746520996,0.03
1,0.016,0.010982450091839884,11.475555555535156,0.9950000000000001,2.5,0.003726779962499661,1.8713037967681885,0.03
0,0.032,0.028384324244711625,1.4222222222196939,0.5808333333333333,30.5,0.10965539455747515,1.9266037940979004,0.03
1,0.032,0.02876596821576882,1.50444444444177,0.6308333333333334,30.0,0.186746634656573,1.861557960510254,0.03
0,0.048,0.028441950857293972,1.3355555555531813,0.31916666666666665,34.25,0.11624626636776099,1.8539302349090576,0.03
1,0.048,0.028260301536192314,1.3711111111086738,0.32166666666666666,30.25,0.1581577974330981,1.8278913497924805,0.03
0,0.064,0.028849264129090075,1.3044444444421255,0.21583333333333332,31.75,0.04199040895781374,1.8530380725860596,0.03
1,0.064,0.028430469202453523,1.2799999999977245,0.32833333333333337,33.25,0.1553580094849027,1.8255650997161865,0.03
0,0.08,0.02912081673847617,1.3066666666643438,0.36833333333333335,31.0,0.07808471183414985,1.8462882041931152,0.03
1,0.08,0.029080131127215872,1.3688888888864554,0.32916666666666666,31.5,0.07142886904699902,1.8654992580413818,0.03
0,0.0,0.011343217941880703,20.61999999996334,0.67,2.0,0.0,1.8540129661560059,0.06
1,0.0,0.011361918756845201,19.897777777742405,0.6766666666666666,2.0,0.0,1.8598880767822266,0.06
0,0.016,0.008457778865087355,16.733333333303584,1.0,1.0,0.0,1.8540081977844238,0.06
1,0.016,0.010206605632099436,12.028888888867506,0.6716666666666666,3.25,0.002886751345948147,1.8476018905639648,0.06
0,0.032,0.015268191992779574,7.191111111098328,0.9741666666666666,8.25,0.004330127018922197,1.8555097579956055,0.06
1,0.032,0.015735552098177626,6.879999999987769,0.9550000000000001,11.0,0.006871842709362785,1.8650178909301758,0.06
0,0.048,0.027885271492706958,1.5955555555527192,0.5833333333333334,27.5,0.14265342617687105,1.8391716480255127,0.06
1,0.048,0.028009759956845248,1.4377777777752216,0.42833333333333334,30.0,0.15917321103474388,1.867067813873291,0.06
0,0.064,0.02867381337407,1.2977777777754709,0.37333333333333335,29.75,0.16440127060876925,1.8675520420074463,0.06
1,0.064,0.028944125087909923,1.3444444444420545,0.29333333333333333,32.25,0.09330356668185602,1.8666167259216309,0.06
0,0.08,0.029168958559575017,1.3466666666642726,0.40499999999999997,30.25,0.1347528602046477,1.8693821430206299,0.06
1,0.08,0.029611580834844387,1.2844444444421612,0.3,34.5,0.09646530752325187,1.9007022380828857,0.06
0,0.0,0.010124841201280781,24.337777777734512,0.6666666666666666,2.0,0.0,1.8900697231292725,0.09
1,0.0,0.010077327764934732,24.70444444440053,0.6766666666666666,2.0,0.0,1.9061779975891113,0.09
0,0.016,0.00818343573193914,17.942222222190324,0.7208333333333333,2.0,0.1611826948251924,1.9924979209899902,0.09
1,0.016,0.008952180275712974,16.293333333304368,0.67,2.5,0.0,1.8897831439971924,0.09
0,0.032,0.011590720866180754,11.428888888868572,0.9858333333333333,5.0,0.006400954789890535,1.9451398849487305,0.09
1,0.032,0.012019759769105114,11.319999999979876,0.985,4.25,0.004999999999999996,1.9127941131591797,0.09
0,0.048,0.021372365422062275,3.8444444444376105,0.8716666666666666,23.75,0.01863389981249823,1.8846659660339355,0.09
1,0.048,0.022102236098849565,3.66444444443793,0.8491666666666667,25.5,0.021131203888509933,1.8730239868164062,0.09
0,0.064,0.028611162510875903,1.3777777777753284,0.2625,33.5,0.09283722313813571,1.8828380107879639,0.09
1,0.064,0.02896931700153227,1.3533333333309274,0.2975,34.5,0.06676555166318099,1.8923583030700684,0.09
0,0.08,0.028276042767962105,1.3844444444419832,0.45833333333333337,28.75,0.16483156385973058,1.8992300033569336,0.09
1,0.08,0.02931189533379081,1.2799999999977245,0.3975,31.5,0.07495832175282476,1.983031988143921,0.09
0,0.0,0.009237227660110715,28.0333333332835,0.6633333333333333,2.0,0.0,1.922853946685791,0.12
1,0.0,0.009237235228567451,27.497777777728892,0.6766666666666666,2.0,0.0,2.006965160369873,0.12
0,0.016,0.007670937528144202,18.922222222188584,0.6383333333333334,2.25,0.002886751345948099,1.932398796081543,0.12
1,0.016,0.00778524392431801,19.59777777774294,0.68,2.25,0.0,1.9082939624786377,0.12
0,0.032,0.009803482139145342,14.544444444418588,0.9908333333333333,3.25,0.004330127018922186,1.8841001987457275,0.12
1,0.032,0.012463307247021896,10.355555555537148,0.8283333333333334,5.5,0.1552328000849763,1.9858181476593018,0.12
0,0.048,0.016414931712847393,6.1133333333224655,0.9675,9.75,0.007592027982620281,1.968261957168579,0.12
1,0.048,0.01692046636038319,5.946666666656095,0.9525000000000001,11.75,0.0027638539919628553,1.975114107131958,0.12
0,0.064,0.027783209407584095,1.4733333333307141,0.4291666666666667,28.75,0.1450933607486343,1.8998007774353027,0.12
1,0.064,0.02902963270896868,1.4622222222196228,0.4883333333333333,31.25,0.1267214793684691,1.8915393352508545,0.12
0,0.08,0.027528301120533484,1.415555555553039,0.5183333333333333,28.75,0.13394650673558703,1.897400140762329,0.12
1,0.08,0.028566649422612587,1.3711111111086738,0.44333333333333336,28.25,0.1205773149845728,1.900115966796875,0.12
0,0.0,0.008650467819262934,30.44666666661254,0.66,2.0,0.0,1.9235961437225342,0.15
1,0.0,0.008647152773329246,30.884444444389537,0.6733333333333333,2.0,0.0,1.9042980670928955,0.15
0,0.016,0.006342247010617925,28.051111111061246,0.8283333333333334,1.5,0.1716666666666667,1.9073870182037354,0.15
1,0.016,0.0072173137142712675,22.595555555515386,0.7,2.25,0.0,2.0720107555389404,0.15
0,0.032,0.008946147245732118,18.191111111078772,0.9950000000000001,2.25,0.003726779962499661,1.9083518981933594,0.15
1,0.032,0.009168499651959134,16.70888888885918,0.9966666666666667,2.0,0.0023570226039551735,1.9664709568023682,0.15
0,0.048,0.014183122819230341,8.079999999985636,0.9733333333333332,8.5,0.0057735026918962476,1.9280459880828857,0.15
1,0.048,0.014310325998301262,7.939999999985885,0.9783333333333333,6.75,0.0028867513459480995,1.9685213565826416,0.15
0,0.064,0.02362933385812299,2.8799999999948804,0.8425,28.25,0.02177855724228664,1.934156894683838,0.15
1,0.064,0.02444054143482772,2.9488888888836464,0.8191666666666666,33.5,0.01800848565414527,1.9088001251220703,0.15
0,0.08,0.027561968141519795,1.4577777777751861,0.6233333333333333,28.0,0.10469532516359607,2.006643056869507,0.15
1,0.08,0.028494529265844844,1.3933333333308564,0.5266666666666666,28.0,0.16222412479858433,2.020726203918457,0.15
